"Genus","Species","Taxon","Date","Longitude","Latitude","Elevation (m)","Location Quality","Source","Citation"
"Turricula","parryi","Turricula parryi","2021-05-20","-119.459576","34.51741","1369","high","iNaturalist","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Turricula","parryi","Turricula parryi","2018-08-13","-119.529512","34.485803","566","high","iNaturalist","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Eriodictyon","parryi","Eriodictyon parryi","2018-08-13","-119.529167","34.485556","569","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Eriodictyon","parryi","Eriodictyon parryi","2012-06-16","-120.02046","35.01495","1332","high","","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Turricula","parryi","Turricula parryi","2006-03-01","-119.91667","34.9","1193","low","G.F. Hrusa checklists","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Turricula","parryi","Turricula parryi","2006-03-01","-119.88333","34.96667","733","low","G.F. Hrusa checklists","Calflora [web application]. 2025. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Jan 31, 2025."
"Eriodictyon","parryi","Eriodictyon parryi","1998-05-04","-120.4633","34.7641","91","medium","SDNHM","Consortium of California Herbaria [CCH]. 2025. Specimen data from CCH contributing herbaria. Retrieved from Calflora https://www.calflora.org/ Jan 31, 2025."
